"annotation_id","annotator","created_at","id","lead_time","sentiment","title","updated_at"

1,"1","2024-09-29T16:08:25.109948Z",1,18.735,"negative","Футбольные фанаты избили корреспондента Russia Today","2024-09-29T16:08:33.034497Z"

2,"1","2024-09-29T16:09:05.374325Z",2,13.131,"neutral","Греф проведет тотальную перепись всего малого бизнеса","2024-09-29T16:17:06.400265Z"

3,"1","2024-09-29T16:09:26.498394Z",3,6.77,"positive","Россия в 2010 году обеспечит работой 1,4 миллиона мигрантов","2024-09-29T16:09:26.498394Z"

4,"1","2024-09-29T16:09:59.909605Z",4,7.341,"neutral","В Татарском проливе найдено тело восьмого рыбака с затонувшей шхуны","2024-09-29T16:09:26.498394Z"

5,"1","2024-09-29T16:10:25.863949Z",5,4.486,"negative","Рестлер сломал ребра после прыжка на соперника с 12-метровой высоты","2024-09-29T16:10:25.863949Z"

